e,p,n,act,mkt,beyond,z,roi,lo,hi,odds,blocksBeyondPos,winN,winBeyond,winRoi,preN,preBeyond,preRoi
12,46,274,42,37.6,4.4,1.51,24.5,5.1,44,2.88,4,87,4.7,27.7,187,4.3,23.1
12,47,268,42.5,37.8,4.8,1.61,26.1,6.4,45.9,2.85,4,84,4.7,28.4,184,4.8,25.1
12,48,260,43.1,38.1,5,1.67,27.3,7.2,47.3,2.84,4,83,5.1,29.9,177,5,26
12,49,250,44,38.4,5.6,1.83,29.7,9.1,50.3,2.8,4,81,6,33.1,169,5.5,28.1
12,50,244,43.4,38.6,4.9,1.56,27.1,6.4,47.7,2.78,4,78,4.9,30.9,166,4.9,25.3
12,51,229,41.9,39,2.9,0.9,20.8,-0.3,41.8,2.74,4,70,0.5,15,159,4,23.3
12,52,210,41.9,39.6,2.3,0.68,19.6,-2.4,41.5,2.69,2,62,-1.9,10,148,4.1,23.6
12,53,198,40.9,40,0.9,0.26,15.7,-6.8,38.3,2.67,1,57,-4.4,1.8,141,3,21.4
12,54,184,41.8,40.5,1.4,0.38,17.1,-6.3,40.5,2.61,2,51,-2.9,5.2,133,3,21.7
12,55,175,42.3,40.8,1.5,0.4,18.6,-5.7,42.8,2.6,2,48,-2.8,6.7,127,3.1,23
12,56,164,42.7,41.2,1.5,0.39,15.7,-8.4,39.9,2.55,2,46,-3.8,3.2,118,3.5,20.6
12,57,154,42.2,41.4,0.8,0.19,11.5,-12.1,35.1,2.52,2,42,-5.1,1.7,112,3,15.2
12,58,137,42.3,41.9,0.4,0.09,12.5,-13,38,2.51,2,35,-4.5,7.9,102,2.1,14
12,59,123,42.3,42.5,-0.2,-0.05,10.5,-16.2,37.2,2.48,2,32,-7.3,3.2,91,2.2,13.1
12,60,116,42.2,43,-0.8,-0.18,5.1,-20.4,30.6,2.4,2,31,-9.8,-11.7,85,2.5,11.2
12,61,105,42.9,43.6,-0.8,-0.16,2.9,-22.4,28.3,2.36,2,27,-5,1.3,78,0.7,3.5
12,62,92,41.3,44.3,-3,-0.58,-3.3,-29.6,22.9,2.28,0,24,-9.3,-8,68,-0.8,-1.7
12,63,84,41.7,44.6,-2.9,-0.54,-2.1,-29.9,25.7,2.29,1,22,-6.2,0.4,62,-1.7,-3
12,64,68,42.6,45.7,-3,-0.5,-1.1,-32.5,30.2,2.24,2,17,-13.9,-11.4,51,0.6,2.3
12,65,62,45.2,46.2,-1,-0.16,4.6,-28.7,38,2.22,3,16,-12,-5.8,46,2.8,8.2
13,35,281,38.4,34.4,4,1.41,29,3.8,54.3,3.29,4,94,1.7,32.6,187,5.1,27.3
13,36,281,38.4,34.4,4,1.41,29,3.8,54.3,3.29,4,94,1.7,32.6,187,5.1,27.3
13,37,279,38.4,34.6,3.8,1.33,28.2,3,53.5,3.28,3,93,1.9,34.1,186,4.7,25.3
13,38,273,39.2,34.9,4.3,1.48,31.1,5.3,56.8,3.23,3,89,2.8,40.1,184,5,26.7
13,39,265,40,35.4,4.6,1.57,33.1,6.9,59.3,3.18,4,87,3.3,43.3,178,5.3,28.1
13,40,260,40.8,35.7,5.1,1.72,35.6,9,62.3,3.15,4,86,3.6,45,174,5.9,31
13,41,256,41,35.9,5.2,1.72,36.2,9.3,63.1,3.13,4,86,3.6,45,170,5.9,31.7
13,42,253,41.5,36,5.5,1.81,37.8,10.6,65,3.12,4,84,4.2,48.4,169,6.1,32.5
13,43,247,42.1,36.3,5.8,1.89,39.6,11.9,67.2,3.09,4,83,4.5,50.2,164,6.4,34.2
13,44,242,42.6,36.6,6,1.92,41,12.9,69,3.07,4,80,5.5,55.8,162,6.2,33.6
13,45,236,42.8,36.9,5.9,1.89,41.6,13,70.2,3.05,4,77,5.5,57.5,159,6.1,33.9
13,46,232,42.2,37.2,5.1,1.6,29.6,7.6,51.6,2.94,3,76,4.3,29.3,156,5.5,29.7
13,47,227,42.7,37.4,5.4,1.67,31,8.7,53.3,2.91,4,73,4.2,30.2,154,5.9,31.4
13,48,221,43,37.7,5.3,1.64,31.3,8.7,54,2.9,3,72,4.6,32,149,5.7,31
13,49,213,43.7,38,5.7,1.72,33.2,10,56.3,2.87,3,71,5.1,33.9,142,6,32.8
13,50,209,43.1,38.1,4.9,1.47,30.3,7.1,53.4,2.85,3,70,4.2,31.6,139,5.3,29.6
13,51,195,41.5,38.6,2.9,0.84,23.9,0.1,47.6,2.81,3,63,0.2,16.3,132,4.2,27.4
13,52,179,41.9,39.2,2.7,0.75,23.8,-1,48.6,2.75,2,55,-2.5,10.8,124,5,29.5
13,53,169,40.8,39.6,1.2,0.32,19.6,-5.9,45,2.73,2,51,-6,-0.4,118,4.3,28.2
13,54,158,41.1,40.1,1.1,0.27,19.2,-7.1,45.5,2.67,2,45,-4.5,3.2,113,3.3,25.6
13,55,153,41.8,40.4,1.5,0.37,21.2,-5.7,48,2.65,2,44,-3.8,5.6,109,3.6,27.4
13,56,146,41.8,40.8,1,0.25,16.6,-9.8,43,2.6,2,42,-4.9,1.7,104,3.4,22.6
13,57,139,42.4,41,1.5,0.35,14.6,-10.9,40.1,2.57,2,40,-3.2,6.8,99,3.4,17.7
13,58,124,41.9,41.5,0.5,0.11,14.2,-13.3,41.8,2.56,3,33,-2.1,14.4,91,1.4,14.2
13,59,112,41.1,42,-1,-0.21,10.2,-18.4,38.9,2.52,2,31,-6.1,6.5,81,1,11.7
13,60,105,41,42.6,-1.6,-0.34,4.2,-23.2,31.6,2.44,2,30,-8.6,-8.8,75,1.2,9.4
13,61,96,41.7,43.2,-1.5,-0.3,1.9,-25,28.9,2.39,2,27,-5,1.3,69,-0.2,2.1
13,62,85,40,43.9,-3.9,-0.72,-4.9,-32.6,22.8,2.31,1,24,-9.3,-8,61,-1.8,-3.7
13,63,79,41.8,44.2,-2.4,-0.43,-0.8,-29.9,28.3,2.31,1,22,-6.2,0.4,57,-1,-1.3
13,64,63,42.9,45.3,-2.4,-0.39,0.6,-32.5,33.8,2.27,3,17,-13.9,-11.4,46,1.8,5
13,65,58,44.8,45.8,-1,-0.15,5.2,-29.9,40.2,2.25,3,16,-12,-5.8,42,3.2,9.4
14,35,236,38.6,34.2,4.4,1.42,32.1,3.4,60.7,3.35,4,78,1.6,39.4,158,5.7,28.4
14,36,236,38.6,34.2,4.4,1.42,32.1,3.4,60.7,3.35,4,78,1.6,39.4,158,5.7,28.4
14,37,235,38.7,34.2,4.5,1.45,32.6,3.9,61.4,3.34,4,77,1.9,41.3,158,5.7,28.4
14,38,230,39.6,34.6,5,1.58,35.5,6.3,64.8,3.3,4,74,2.7,47,156,6,30.1
14,39,224,40.2,35,5.1,1.62,36.8,7.1,66.6,3.25,4,72,3.2,51.1,152,6.1,30.1
14,40,221,40.7,35.2,5.5,1.71,38.7,8.6,68.8,3.22,4,72,3.2,51.1,149,6.6,32.7
14,41,218,41.3,35.4,5.9,1.81,40.6,10.2,71,3.21,4,72,3.2,51.1,146,7.2,35.5
14,42,216,41.7,35.6,6.1,1.88,41.9,11.3,72.5,3.19,4,71,3.6,53.2,145,7.4,36.4
14,43,211,42.2,35.9,6.3,1.92,43.4,12.3,74.6,3.17,4,70,3.9,55.4,141,7.5,37.5
14,44,206,42.7,36.2,6.6,1.96,45.2,13.4,76.9,3.14,4,67,5.1,62.3,139,7.3,36.9
14,45,202,43.6,36.4,7.2,2.13,48,15.8,80.3,3.13,4,65,6,67.3,137,7.7,38.9
14,46,199,43.2,36.7,6.5,1.92,36.5,11.9,61.1,3.02,4,64,4.6,34,135,7.4,37.7
14,47,196,43.9,36.8,7,2.04,38.6,13.7,63.5,2.99,4,63,5.1,36.1,133,8,39.8
14,48,190,44.2,37.1,7.1,2.02,39.2,13.9,64.5,2.97,4,62,5.6,38.3,128,7.8,39.6
14,49,185,44.3,37.4,7,1.95,39.4,13.7,65.1,2.95,4,61,6.2,40.6,124,7.3,38.8
14,50,182,44,37.5,6.4,1.79,37,11.4,62.7,2.93,3,61,6.2,40.6,121,6.6,35.2
14,51,170,42.9,38,5,1.33,32.1,5.7,58.4,2.89,3,54,1.7,24,116,6.5,35.8
14,52,159,42.8,38.5,4.3,1.12,30.4,3.2,57.6,2.83,3,48,-0.6,19.6,111,6.4,35
14,53,150,41.3,38.9,2.5,0.62,25.2,-2.7,53.2,2.8,2,44,-4.4,7.4,106,5.3,32.6
14,54,140,41.4,39.3,2.1,0.51,24.4,-4.6,53.3,2.74,2,39,-3.3,10.1,101,4.2,29.9
14,55,135,42.2,39.6,2.6,0.62,26.8,-2.9,56.5,2.72,2,38,-2.5,12.9,97,4.6,32.2
14,56,129,41.9,40,1.9,0.43,20.9,-8.2,50,2.67,2,36,-3.7,8.8,93,4,25.6
14,57,124,41.9,40.2,1.7,0.39,17,-10.9,44.8,2.63,2,36,-3.7,8.8,88,3.9,20.3
14,58,111,41.4,40.6,0.8,0.18,17,-13.1,47,2.62,2,30,-3.8,14,81,2.5,18.1
14,59,100,41,41.2,-0.2,-0.03,14.1,-17.4,45.5,2.58,2,28,-8.3,5.3,72,3,17.5
14,60,94,41.5,41.7,-0.3,-0.05,8.8,-21.1,38.8,2.5,2,27,-11.2,-11.8,67,4.2,17.1
14,61,85,42.4,42.3,0,0,6.7,-22.9,36.3,2.45,2,24,-7.5,-0.8,61,3,9.7
14,62,75,40,43,-3,-0.53,-1.7,-32.2,28.7,2.36,2,21,-12.7,-11.7,54,0.7,2.1
14,63,70,41.4,43.3,-1.9,-0.32,1.8,-30.1,33.6,2.36,2,19,-9.5,-2.4,51,0.9,3.3
14,64,56,41.1,44.4,-3.3,-0.5,0.5,-35.9,36.8,2.32,2,14,-20,-17.6,42,2.3,6.5
14,65,51,43.1,44.9,-1.8,-0.25,5.6,-33.2,44.5,2.3,2,13,-18.2,-11.3,38,3.9,11.4
15,35,189,38.6,33.8,4.8,1.39,37.6,3.4,71.9,3.46,4,61,1.1,44.7,128,6.6,34.3
15,36,189,38.6,33.8,4.8,1.39,37.6,3.4,71.9,3.46,4,61,1.1,44.7,128,6.6,34.3
15,37,188,38.8,33.9,4.9,1.43,38.4,4,72.7,3.45,4,60,1.4,47.1,128,6.6,34.3
15,38,184,39.7,34.3,5.4,1.54,41.4,6.4,76.4,3.4,4,57,2.4,54.8,127,6.7,35.3
15,39,179,40.2,34.7,5.5,1.54,42.5,6.9,78.1,3.35,4,55,3.1,60.5,124,6.5,34.5
15,40,177,40.7,34.9,5.8,1.61,44.1,8.1,80,3.33,4,55,3.1,60.5,122,7,36.7
15,41,176,40.9,35,5.9,1.64,44.9,8.8,81,3.32,4,55,3.1,60.5,121,7.2,37.8
15,42,174,41.4,35.2,6.2,1.71,46.6,10.1,83,3.3,4,54,3.5,63.4,120,7.4,39
15,43,172,41.9,35.3,6.5,1.79,48.3,11.5,85.1,3.29,4,54,3.5,63.4,118,7.9,41.3
15,44,168,42.9,35.7,7.2,1.95,51.8,14.3,89.3,3.26,4,51,5,73,117,8.2,42.5
15,45,165,43.6,35.8,7.8,2.09,54.6,16.5,92.6,3.25,4,49,6.3,80.1,116,8.4,43.8
15,46,162,43.2,36.2,7,1.86,40.5,12.1,68.9,3.12,4,48,4.4,35.9,114,8.1,42.4
15,47,159,44,36.4,7.6,2,43.2,14.4,71.9,3.09,4,47,5,38.8,112,8.7,45
15,48,153,44.4,36.8,7.7,1.97,44.1,14.7,73.5,3.07,4,46,5.6,41.8,107,8.6,45.1
15,49,150,44.7,36.9,7.7,1.96,44.7,15,74.5,3.04,4,46,5.6,41.8,104,8.6,46
15,50,148,44.6,37.1,7.5,1.89,43.1,13.4,72.8,3.02,3,46,5.6,41.8,102,8.4,43.6
15,51,142,44.4,37.4,7,1.72,41.1,11,71.3,2.99,3,42,4.2,35.5,100,8.1,43.5
15,52,133,43.6,37.8,5.8,1.37,37.8,6.6,68.9,2.92,3,36,1.6,31.7,97,7.3,40
15,53,127,42.5,38.2,4.3,1,33.4,1.6,65.2,2.9,2,34,-2.2,17.8,93,6.7,39.1
15,54,119,42,38.6,3.4,0.76,30.8,-2,63.7,2.83,2,31,-2.7,15.2,88,5.5,36.3
15,55,114,43,39,4,0.88,34,0.1,67.9,2.82,2,30,-1.6,19.1,84,6,39.3
15,56,109,42.2,39.4,2.8,0.61,26.2,-7,59.3,2.75,2,28,-3,14.2,81,4.9,30.3
15,57,106,41.5,39.5,2,0.42,19.4,-11.9,50.7,2.7,2,28,-3,14.2,78,3.8,21.3
15,58,96,42.7,39.9,2.8,0.56,23.8,-9.8,57.4,2.7,3,23,-0.2,28.1,73,3.8,22.4
15,59,88,43.2,40.4,2.7,0.52,22.5,-12.1,57.1,2.65,3,23,-0.2,28.1,65,3.8,20.5
15,60,82,43.9,41,2.9,0.53,17.1,-16,50.2,2.56,2,22,-3.4,8.3,60,5.2,20.4
15,61,76,44.7,41.6,3.1,0.55,14.2,-17.9,46.3,2.5,2,21,-1.6,13.4,55,4.9,14.5
15,62,66,42.4,42.3,0.1,0.02,5.8,-27.7,39.2,2.41,2,18,-6.7,3,48,2.7,6.8
15,63,62,43.5,42.6,1,0.15,8.6,-26.3,43.5,2.41,2,17,-4.6,9.1,45,3.1,8.4
15,64,50,42,43.7,-1.7,-0.24,4.7,-34.9,44.4,2.37,1,12,-14.9,-3.9,38,2.5,7.4
15,65,45,44.4,44.2,0.3,0.03,11.1,-31.6,53.7,2.36,1,11,-12.3,4.8,34,4.3,13.1
16,35,153,38.6,33.1,5.5,1.44,45.4,4.6,86.3,3.57,4,44,3,64.3,109,6.5,37.8
16,36,153,38.6,33.1,5.5,1.44,45.4,4.6,86.3,3.57,4,44,3,64.3,109,6.5,37.8
16,37,153,38.6,33.1,5.5,1.44,45.4,4.6,86.3,3.57,4,44,3,64.3,109,6.5,37.8
16,38,149,39.6,33.5,6.1,1.56,49.3,7.6,91.1,3.51,4,41,4.4,76.3,108,6.7,39.1
16,39,145,40,34,6,1.53,49.9,7.4,92.4,3.46,4,39,5.5,85.4,106,6.2,36.9
16,40,144,40.3,34.1,6.2,1.56,51,8.2,93.7,3.44,4,39,5.5,85.4,105,6.4,38.2
16,41,143,40.6,34.2,6.4,1.6,52,9,95,3.43,4,39,5.5,85.4,104,6.7,39.5
16,42,141,41.1,34.4,6.7,1.68,54.2,10.7,97.7,3.41,4,38,6.2,90.2,103,6.9,40.9
16,43,139,41.7,34.6,7.1,1.76,56.4,12.4,100.4,3.39,4,38,6.2,90.2,101,7.5,43.7
16,44,136,42.6,34.9,7.8,1.9,59.9,15,104.7,3.37,4,36,7.7,100.8,100,7.8,45.1
16,45,133,43.6,35.1,8.5,2.05,63.5,17.8,109.1,3.36,4,34,9.6,112.6,99,8.1,46.6
16,46,130,43.1,35.5,7.5,1.8,46.2,13,79.4,3.2,4,33,7,49.4,97,7.7,45.1
16,47,128,43.8,35.7,8,1.9,48.5,14.9,82,3.18,4,32,8,54,96,8.1,46.6
16,48,125,44,36,8,1.88,49,15,83,3.17,4,31,9,59,94,7.7,45.7
16,49,122,44.3,36.2,8.1,1.86,49.8,15.3,84.4,3.14,4,31,9,59,91,7.8,46.7
16,50,120,44.2,36.3,7.8,1.79,47.9,13.4,82.4,3.12,4,31,9,59,89,7.4,44
16,51,117,44.4,36.5,7.9,1.78,48.6,13.6,83.6,3.11,4,29,8.1,57.4,88,7.9,45.7
16,52,111,43.2,36.9,6.4,1.39,43.8,8,79.7,3.05,3,24,3.5,50.6,87,7.2,42
16,53,106,42.5,37.2,5.2,1.12,40.3,3.6,77,3.02,2,23,0.7,37.6,83,6.5,41
16,54,100,42,37.6,4.4,0.91,38.1,0.3,75.9,2.95,2,21,-1.1,30,79,5.9,40.2
16,55,96,42.7,37.9,4.8,0.97,40.7,1.8,79.7,2.94,2,21,-1.1,30,75,6.5,43.7
16,56,92,41.3,38.3,3,0.59,30.3,-7.7,68.3,2.87,2,20,-4.9,17.7,72,5.2,33.8
16,57,90,40,38.5,1.5,0.3,21.1,-14.5,56.6,2.81,2,20,-4.9,17.7,70,3.4,22
16,58,82,41.5,38.8,2.7,0.5,26.5,-11.5,64.5,2.81,3,17,0.3,38.5,65,3.3,23.4
16,59,75,42.7,39.3,3.4,0.6,26.9,-12.5,66.2,2.76,3,17,0.3,38.5,58,4.3,23.4
16,60,70,42.9,39.9,3,0.51,19.1,-18.2,56.5,2.66,2,16,-4,11.9,54,5,21.3
16,61,64,43.8,40.5,3.3,0.53,15.9,-20.5,52.3,2.6,2,15,-1.6,19.3,49,4.7,14.8
16,62,56,42.9,41.1,1.7,0.26,10.3,-27.5,48,2.5,2,12,-9.2,5.2,44,4.7,11.6
16,63,53,43.4,41.4,2,0.29,11.8,-27.3,51,2.49,2,12,-9.2,5.2,41,5.3,13.8
16,64,43,41.9,42.4,-0.6,-0.07,8.2,-36.4,52.7,2.45,1,8,-19.3,-2.2,35,3.7,10.5
16,65,38,44.7,42.9,1.9,0.23,16.1,-32.5,64.8,2.44,1,7,-15.8,11.7,31,5.9,17.1
17,35,122,37.7,32.8,4.9,1.14,46.8,-1.8,95.4,3.64,4,33,6.1,89.2,89,4.4,31.1
17,36,122,37.7,32.8,4.9,1.14,46.8,-1.8,95.4,3.64,4,33,6.1,89.2,89,4.4,31.1
17,37,122,37.7,32.8,4.9,1.14,46.8,-1.8,95.4,3.64,4,33,6.1,89.2,89,4.4,31.1
17,38,119,38.7,33.3,5.4,1.25,50.5,0.8,100.2,3.58,4,31,7.6,101.4,88,4.6,32.6
17,39,117,39.3,33.6,5.8,1.32,53.1,2.7,103.5,3.54,4,30,8.4,108.1,87,4.9,34.1
17,40,116,39.7,33.7,6,1.36,54.4,3.6,105.2,3.53,4,30,8.4,108.1,86,5.1,35.7
17,41,115,40,33.8,6.2,1.4,55.7,4.6,106.9,3.51,4,30,8.4,108.1,85,5.4,37.2
17,42,113,40.7,34.1,6.6,1.49,58.5,6.6,110.4,3.49,4,29,9.4,115.3,84,5.7,38.9
17,43,112,41.1,34.2,6.9,1.53,59.9,7.6,112.2,3.47,4,29,9.4,115.3,83,6,40.6
17,44,110,41.8,34.5,7.4,1.62,62.8,9.7,115.9,3.45,4,27,11.6,131.3,83,6,40.6
17,45,110,41.8,34.5,7.4,1.62,62.8,9.7,115.9,3.45,4,27,11.6,131.3,83,6,40.6
17,46,107,41.1,35,6.2,1.34,41.8,4.6,79,3.25,4,26,8.3,51.7,81,5.5,38.6
17,47,105,41.9,35.2,6.7,1.45,44.5,6.8,82.2,3.24,4,25,9.6,57.8,80,5.9,40.4
17,48,102,42.2,35.4,6.7,1.42,45,6.7,83.4,3.23,3,24,11,64.3,78,5.4,39.1
17,49,101,42.6,35.5,7,1.48,46.5,7.8,85.1,3.22,3,24,11,64.3,77,5.8,40.9
17,50,100,43,35.7,7.3,1.53,47.9,9,86.8,3.21,3,24,11,64.3,76,6.2,42.7
17,51,97,43.3,35.9,7.4,1.52,48.8,9.1,88.4,3.2,3,22,10,62.8,75,6.6,44.6
17,52,93,43,36.2,6.8,1.37,48.2,7.4,88.9,3.15,3,18,7.6,62.8,75,6.6,44.6
17,53,89,42.7,36.5,6.2,1.21,47.6,5.5,89.6,3.14,3,18,7.6,62.8,71,5.8,43.7
17,54,85,42.4,36.8,5.5,1.06,45.4,2.4,88.4,3.06,3,16,6,56,69,5.4,42.9
17,55,82,43.9,37.1,6.8,1.27,50.7,6.5,94.9,3.05,3,16,6,56,66,7,49.4
17,56,78,42.3,37.6,4.7,0.87,38.9,-4.4,82.2,2.97,3,15,1.4,41.4,63,5.5,38.3
17,57,77,41.6,37.7,3.9,0.7,30,-10.1,70.2,2.9,3,15,1.4,41.4,62,4.4,27.3
17,58,72,43.1,37.9,5.1,0.89,35,-7.1,77.1,2.9,3,12,10.5,76.8,60,4,26.7
17,59,65,44.6,38.4,6.2,1.02,36.4,-7.6,80.3,2.86,3,12,10.5,76.8,53,5.2,27.2
17,60,60,45,39.1,5.9,0.94,28.1,-13.8,70.1,2.74,3,11,5.1,41.5,49,6.1,25.1
17,61,55,45.5,39.7,5.7,0.87,23,-17.6,63.6,2.67,3,11,5.1,41.5,44,5.9,18.4
17,62,49,46.9,40.4,6.6,0.93,22.3,-19.2,63.9,2.56,2,9,3.1,40.2,40,7.3,18.3
17,63,46,47.8,40.7,7.2,0.99,25,-18.4,68.3,2.55,3,9,3.1,40.2,37,8.2,21.2
17,64,37,45.9,41.7,4.3,0.53,20.9,-29,70.8,2.51,2,5,-3,56.4,32,5.4,15.3
17,65,34,47.1,42.2,4.9,0.58,24.5,-28.5,77.5,2.5,1,5,-3,56.4,29,6.3,19
18,35,109,40.4,32.9,7.5,1.66,59.5,5.9,113.1,3.7,4,27,11,119.4,82,6.3,39.8
18,36,109,40.4,32.9,7.5,1.66,59.5,5.9,113.1,3.7,4,27,11,119.4,82,6.3,39.8
18,37,109,40.4,32.9,7.5,1.66,59.5,5.9,113.1,3.7,4,27,11,119.4,82,6.3,39.8
18,38,106,41.5,33.4,8.1,1.77,64,9.1,118.9,3.64,4,25,13.2,137,81,6.6,41.5
18,39,104,42.3,33.7,8.6,1.85,67.2,11.4,122.9,3.59,4,24,14.4,146.9,80,6.8,43.3
18,40,103,42.7,33.9,8.8,1.89,68.8,12.6,125,3.57,4,24,14.4,146.9,79,7.1,45.1
18,41,102,43.1,34,9.1,1.94,70.5,13.8,127.1,3.56,4,24,14.4,146.9,78,7.5,46.9
18,42,101,43.6,34.2,9.4,1.99,72.1,15,129.3,3.54,4,23,15.9,157.6,78,7.5,46.9
18,43,100,44,34.3,9.7,2.04,73.9,16.3,131.5,3.53,4,23,15.9,157.6,77,7.8,48.8
18,44,99,44.4,34.5,9.9,2.08,75.6,17.5,133.7,3.51,4,22,17.4,169.3,77,7.8,48.8
18,45,99,44.4,34.5,9.9,2.08,75.6,17.5,133.7,3.51,4,22,17.4,169.3,77,7.8,48.8
18,46,96,43.8,35.1,8.7,1.78,52.6,12.3,92.9,3.29,4,21,13.7,72.6,75,7.3,47
18,47,95,44.2,35.2,9,1.84,54.2,13.6,94.8,3.28,4,20,15.5,81.3,75,7.3,47
18,48,93,44.1,35.4,8.7,1.75,53.4,12.3,94.5,3.27,3,19,17.7,90.8,74,6.4,43.8
18,49,92,44.6,35.5,9.1,1.82,55.1,13.7,96.5,3.27,4,19,17.7,90.8,73,6.8,45.8
18,50,91,45.1,35.6,9.4,1.87,56.8,15.1,98.5,3.26,4,19,17.7,90.8,72,7.2,47.8
18,51,89,44.9,35.8,9.1,1.79,56.2,14,98.5,3.25,4,17,17.1,91.9,72,7.2,47.8
18,52,87,44.8,36,8.8,1.72,56,13.1,98.9,3.19,4,15,16.5,95.3,72,7.2,47.8
18,53,83,44.6,36.3,8.2,1.56,55.7,11.4,100.1,3.19,3,15,16.5,95.3,68,6.4,47
18,54,79,44.3,36.7,7.6,1.41,53.8,8.3,99.4,3.1,4,13,15.9,92,66,6,46.3
18,55,76,46.1,37,9.1,1.64,59.9,13.1,106.7,3.09,4,13,15.9,92,63,7.7,53.3
18,56,72,44.4,37.5,7,1.23,47.7,1.6,93.7,3.01,3,12,11,76.8,60,6.2,41.9
18,57,71,43.7,37.6,6.1,1.05,38.1,-4.6,80.8,2.93,3,12,11,76.8,59,5.1,30.3
18,58,68,44.1,37.8,6.3,1.08,40,-4.1,84,2.93,3,11,15.1,92.8,57,4.6,29.8
18,59,62,45.2,38.3,6.9,1.11,39.6,-6,85.2,2.88,3,11,15.1,92.8,51,5.1,28.2
18,60,58,44.8,38.9,5.9,0.92,29,-14.1,72.1,2.76,3,10,9.6,55.6,48,5.1,23.5
18,61,53,45.3,39.6,5.7,0.85,23.8,-18,65.5,2.69,3,10,9.6,55.6,43,4.8,16.4
18,62,48,45.8,40.2,5.6,0.79,20.6,-21.7,63,2.57,2,9,3.1,40.2,39,6.2,16.1
18,63,45,46.7,40.5,6.2,0.84,23.2,-21,67.4,2.56,3,9,3.1,40.2,36,6.9,18.9
18,64,36,44.4,41.5,2.9,0.36,18.5,-32.6,69.6,2.53,2,5,-3,56.4,31,3.9,12.4
18,65,33,45.5,42,3.4,0.4,22.1,-32.3,76.5,2.51,1,5,-3,56.4,28,4.6,16
19,35,90,37.8,32.3,5.5,1.11,63.7,0.2,127.2,3.84,4,19,8.4,147.4,71,4.7,41.3
19,36,90,37.8,32.3,5.5,1.11,63.7,0.2,127.2,3.84,4,19,8.4,147.4,71,4.7,41.3
19,37,90,37.8,32.3,5.5,1.11,63.7,0.2,127.2,3.84,4,19,8.4,147.4,71,4.7,41.3
19,38,88,38.6,32.7,5.9,1.19,67.4,2.6,132.1,3.79,4,18,9.7,161.1,70,5,43.3
19,39,86,39.5,33.1,6.5,1.27,71.3,5.2,137.3,3.74,4,17,11.2,176.5,69,5.3,45.3
19,40,85,40,33.3,6.7,1.32,73.3,6.6,140,3.72,4,17,11.2,176.5,68,5.6,47.5
19,41,85,40,33.3,6.7,1.32,73.3,6.6,140,3.72,4,17,11.2,176.5,68,5.6,47.5
19,42,84,40.5,33.4,7.1,1.37,75.3,8,142.7,3.7,4,16,13.1,193.8,68,5.6,47.5
19,43,83,41,33.6,7.4,1.42,77.5,9.4,145.5,3.68,4,16,13.1,193.8,67,6,49.7
19,44,82,41.5,33.8,7.7,1.47,79.6,10.9,148.4,3.66,4,15,15.2,213.3,67,6,49.7
19,45,82,41.5,33.8,7.7,1.47,79.6,10.9,148.4,3.66,4,15,15.2,213.3,67,6,49.7
19,46,80,40,34.3,5.7,1.07,49.9,3.5,96.3,3.41,4,14,9.4,71.4,66,4.9,45.3
19,47,79,40.5,34.5,6.1,1.13,51.8,5,98.6,3.41,4,13,12,84.6,66,4.9,45.3
19,48,78,39.7,34.6,5.2,0.96,48.9,1.8,95.9,3.4,3,13,12,84.6,65,3.8,41.7
19,49,77,40.3,34.7,5.6,1.03,50.8,3.3,98.3,3.4,4,13,12,84.6,64,4.3,43.9
19,50,76,40.8,34.8,5.9,1.09,52.8,4.8,100.8,3.39,4,13,12,84.6,63,4.7,46.2
19,51,75,40,35,5,0.92,50,1.7,98.3,3.38,4,12,6.8,69.7,63,4.7,46.2
19,52,74,40.5,35,5.5,0.99,52,3.2,100.8,3.32,4,11,10,85.2,63,4.7,46.2
19,53,71,40.8,35.3,5.5,0.97,53.9,3.6,104.2,3.32,3,11,10,85.2,60,4.7,48.1
19,54,68,41.2,35.6,5.6,0.96,55.7,3.8,107.5,3.24,2,10,13.9,103.7,58,4.2,47.4
19,55,65,43.1,35.9,7.2,1.21,62.8,9.2,116.5,3.24,2,10,13.9,103.7,55,6,55.4
19,56,61,41,36.4,4.6,0.75,48.6,-4.6,101.8,3.15,2,9,7.1,84.7,52,4.2,42.3
19,57,60,40,36.5,3.5,0.56,37.3,-11.9,86.5,3.06,2,9,7.1,84.7,51,2.8,29
19,58,57,40.4,36.7,3.6,0.57,39.5,-11.6,90.5,3.06,2,8,12.2,107.7,49,2.3,28.3
19,59,51,41.2,37.2,4,0.59,39,-14.7,92.7,3.02,2,8,12.2,107.7,43,2.5,26.2
19,60,47,40.4,37.9,2.5,0.36,25.9,-25.2,76.9,2.88,2,7,3.9,56.7,40,2.3,20.4
19,61,44,38.6,38.5,0.1,0.01,13.5,-34.7,61.6,2.79,2,7,3.9,56.7,37,-0.6,5.3
19,62,39,38.5,39.2,-0.8,-0.1,8.3,-41.1,57.6,2.66,1,6,-6.7,33.8,33,0.3,3.6
19,63,37,40.5,39.5,1.1,0.13,14.1,-37.3,65.5,2.65,1,6,-6.7,33.8,31,2.6,10.3
19,64,30,40,40.5,-0.5,-0.05,13.8,-45.2,72.9,2.62,0,3,-7.8,86.3,27,0.4,5.8
19,65,27,40.7,40.9,-0.2,-0.02,17.7,-46.3,81.7,2.61,0,3,-7.8,86.3,24,0.7,9.1
