e,p,n,act,mkt,beyond,z,roi,lo,hi,odds,blocksBeyondPos,winN,winBeyond,winRoi,preN,preBeyond,preRoi
6,56,306,46.4,45.3,1.2,0.4,7.3,-7.6,22.3,2.27,2,92,-3,-4.2,214,2.9,12.3
6,57,282,46.8,45.6,1.2,0.4,6.1,-8.9,21,2.25,2,82,-3.1,-3.6,200,2.9,10.1
6,58,254,45.7,46.2,-0.5,-0.17,3.2,-12.6,19.1,2.23,1,74,-3.4,-2.7,180,0.6,5.7
6,59,227,46.3,46.8,-0.6,-0.18,2.8,-13.8,19.5,2.2,1,65,-4.1,-3.1,162,0.8,5.2
6,60,207,46.4,47.3,-0.9,-0.26,0.1,-16.5,16.6,2.16,1,58,-2.7,-4.7,149,-0.2,1.9
6,61,182,47.3,47.9,-0.6,-0.17,-0.6,-17.5,16.3,2.13,1,51,1.1,4.4,131,-1.3,-2.6
6,62,163,47.9,48.6,-0.7,-0.18,-2,-19.3,15.3,2.07,1,46,-0.7,0.1,117,-0.7,-2.8
6,63,148,48,48.9,-0.9,-0.23,-1.8,-20.1,16.5,2.06,2,41,2.5,7.8,107,-2.3,-5.4
6,64,121,49.6,50,-0.4,-0.09,-0.1,-20.4,20.2,2.02,2,34,0.1,3.7,87,-0.6,-1.6
6,65,106,51.9,50.5,1.4,0.29,4.7,-17.3,26.7,2.01,2,31,1.6,7.8,75,1.3,3.4
7,35,863,38.6,36.1,2.5,1.52,10.3,-0.7,21.3,2.94,4,266,3.6,16.9,597,2,7.3
7,36,860,38.7,36.1,2.6,1.58,10.7,-0.4,21.7,2.94,4,264,3.8,17.8,596,2,7.5
7,37,845,38.8,36.4,2.5,1.48,10.2,-0.9,21.3,2.91,4,259,3.9,18.4,586,1.8,6.6
7,38,822,39.3,36.7,2.6,1.53,11,-0.3,22.3,2.88,4,252,4.2,20.1,570,1.8,7
7,39,786,39.8,37.3,2.6,1.49,11.3,-0.2,22.9,2.83,4,239,4.6,22.1,547,1.7,6.7
7,40,758,40.9,37.6,3.3,1.85,14.1,2.3,25.9,2.8,4,232,5.1,24.2,526,2.4,9.6
7,41,731,41.2,38,3.2,1.76,14,2,26,2.77,4,222,4.4,22.1,509,2.6,10.5
7,42,702,41.6,38.4,3.2,1.74,14.5,2.2,26.8,2.74,4,211,4.6,23.7,491,2.6,10.6
7,43,676,42.3,38.8,3.5,1.88,16,3.4,28.6,2.72,4,207,4.8,24.7,469,3,12.2
7,44,642,42.8,39.2,3.6,1.86,16.7,3.7,29.7,2.68,4,193,5.7,29.1,449,2.7,11.3
7,45,617,43.3,39.6,3.7,1.86,17.2,3.9,30.5,2.66,4,187,6.3,31.4,430,2.5,11
7,46,583,43.4,40.1,3.3,1.62,12.3,0.9,23.8,2.6,4,178,5.3,17.7,405,2.4,10
7,47,559,43.5,40.4,3,1.46,11.7,0,23.4,2.56,4,168,5.1,17.7,391,2.1,9.2
7,48,527,44.4,40.9,3.5,1.64,13.4,1.4,25.5,2.54,4,161,4.9,17.6,366,2.9,11.6
7,49,490,45.3,41.4,3.9,1.76,15.3,2.7,27.8,2.51,4,150,5.9,20.8,340,3.1,12.8
7,50,460,45,41.8,3.2,1.41,13.4,0.5,26.2,2.49,4,139,4.9,19,321,2.5,10.9
7,51,423,45.9,42.4,3.5,1.46,13.5,0.2,26.8,2.45,4,129,3.1,11.4,294,3.7,14.5
7,52,387,45.5,43,2.5,0.99,11.2,-2.6,25,2.41,2,115,-0.2,3.8,272,3.6,14.3
7,53,365,45.5,43.4,2.1,0.79,9.9,-4.2,24.1,2.38,2,106,-1.8,-1.6,259,3.6,14.6
7,54,338,46.2,43.9,2.2,0.82,10.5,-4.2,25.2,2.34,2,97,-0.7,0.6,241,3.4,14.4
7,55,314,46.8,44.4,2.5,0.87,12.3,-3.1,27.7,2.33,2,90,-2.1,-0.7,224,4.3,17.5
7,56,289,46,44.8,1.2,0.41,8.1,-7.6,23.7,2.3,2,86,-2.9,-3.2,203,2.9,12.8
7,57,266,46.2,45.2,1.1,0.35,6.4,-9.2,22,2.27,2,77,-3.6,-3.6,189,3,10.5
7,58,240,45,45.7,-0.7,-0.23,3.4,-13.2,20,2.26,1,69,-3.9,-2.7,171,0.5,5.8
7,59,214,45.3,46.4,-1,-0.31,2.5,-14.9,19.9,2.22,1,60,-4.8,-3.2,154,0.4,4.7
7,60,195,45.6,46.8,-1.2,-0.33,0,-17.3,17.3,2.18,1,53,-3.4,-4.9,142,-0.4,1.9
7,61,173,46.2,47.4,-1.2,-0.31,-1.3,-18.8,16.2,2.15,1,47,-0.4,3,126,-1.5,-2.9
7,62,155,46.5,48.1,-1.6,-0.41,-3.4,-21.4,14.5,2.09,1,43,-3.6,-4.2,112,-0.9,-3.2
7,63,140,46.4,48.4,-2,-0.47,-3.4,-22.5,15.7,2.09,1,38,-0.5,3.5,102,-2.6,-6
7,64,113,47.8,49.5,-1.7,-0.35,-2,-23.4,19.4,2.05,1,31,-3.8,-1.9,82,-0.8,-2
7,65,98,50,49.9,0.1,0.02,2.9,-20.5,26.3,2.04,1,28,-2.6,2,70,1.2,3.2
8,35,724,38.1,35.8,2.4,1.33,12,-0.5,24.5,2.98,2,224,5,23.6,500,1.2,6.8
8,36,723,38.2,35.8,2.4,1.35,12.2,-0.3,24.7,2.98,2,224,5,23.6,499,1.2,7
8,37,712,38.3,36,2.4,1.32,12.1,-0.5,24.6,2.96,2,220,5,23.8,492,1.2,6.8
8,38,694,38.6,36.3,2.3,1.25,12.2,-0.5,25,2.92,2,214,5.3,25.5,480,1,6.3
8,39,668,39.4,36.8,2.6,1.37,13.6,0.6,26.6,2.88,2,203,5.9,28.6,465,1.1,7
8,40,648,40.1,37.2,3,1.57,15.5,2.2,28.7,2.85,2,197,6.4,30.7,451,1.5,8.8
8,41,627,40.2,37.5,2.7,1.39,14.8,1.4,28.3,2.82,4,191,4.8,25.8,436,1.8,10
8,42,606,40.6,37.8,2.8,1.4,15.5,1.8,29.3,2.8,4,181,5.5,29,425,1.6,9.8
8,43,583,41.5,38.2,3.3,1.63,17.7,3.6,31.9,2.77,4,178,6.1,31.2,405,2.1,11.8
8,44,559,41.7,38.6,3.1,1.48,17.7,3.2,32.1,2.74,3,169,6.7,34.5,390,1.5,10.4
8,45,537,41.9,39,2.9,1.38,17.6,2.8,32.5,2.72,3,163,7.3,37.3,374,1,9
8,46,511,41.9,39.5,2.4,1.12,11.9,-0.7,24.6,2.65,3,155,6.6,22.8,356,0.6,7.2
8,47,490,41.6,39.8,1.8,0.83,10.5,-2.3,23.4,2.62,2,147,5.9,21.6,343,0.1,5.8
8,48,463,42.5,40.2,2.3,1.02,12.3,-0.9,25.5,2.6,2,143,5.6,20.9,320,0.9,8.5
8,49,434,43.5,40.7,2.9,1.22,14.6,0.8,28.3,2.56,3,136,6.1,23.1,298,1.4,10.7
8,50,410,43.2,41,2.2,0.9,12.5,-1.5,26.6,2.54,2,127,5.9,23.2,283,0.5,7.7
8,51,376,43.6,41.6,2,0.8,11.8,-2.8,26.3,2.51,2,118,3.7,14.3,258,1.2,10.6
8,52,344,43.3,42.2,1.1,0.41,9.5,-5.6,24.7,2.46,1,105,0.7,6.8,239,1.3,10.7
8,53,325,43.1,42.6,0.4,0.16,7.7,-7.8,23.2,2.43,1,98,-1.8,-0.8,227,1.4,11.4
8,54,302,44,43.1,0.9,0.32,8.9,-7.1,25,2.39,1,89,-0.6,1.6,213,1.5,12
8,55,279,44.8,43.5,1.3,0.43,11.3,-5.6,28.2,2.38,1,82,-2.2,0.3,197,2.7,15.9
8,56,258,44.6,44,0.6,0.2,8.1,-8.9,25.2,2.35,2,78,-3,-2.4,180,2.2,12.7
8,57,235,44.7,44.3,0.4,0.12,6.3,-10.9,23.4,2.33,2,69,-3.8,-2.8,166,2.1,10.1
8,58,213,44.1,44.9,-0.7,-0.22,4.8,-13.4,23,2.31,1,61,-4.2,-1.6,152,0.6,7.4
8,59,189,44.4,45.5,-1,-0.29,4,-15.2,23.1,2.28,1,52,-5.2,-2,137,0.5,6.3
8,60,173,44.5,45.9,-1.4,-0.37,0.7,-18.2,19.6,2.23,1,47,-5.5,-8,126,0.1,3.9
8,61,154,44.2,46.5,-2.4,-0.59,-2.6,-21.7,16.5,2.19,1,41,-2.3,0.6,113,-2.4,-3.8
8,62,139,43.9,47.2,-3.3,-0.79,-5.9,-25.4,13.6,2.13,1,38,-4.8,-5.3,101,-2.8,-6.1
8,63,127,44.1,47.6,-3.5,-0.78,-5.4,-26,15.1,2.12,1,35,-1.4,2.8,92,-4.3,-8.6
8,64,104,45.2,48.6,-3.4,-0.7,-4.5,-27.3,18.4,2.08,1,28,-5.3,-3.3,76,-2.8,-4.9
8,65,90,47.8,49,-1.3,-0.24,1.4,-23.7,26.5,2.08,1,25,-4.1,0.8,65,-0.2,1.6
9,35,609,37.8,35.4,2.3,1.21,14,-0.2,28.2,3.04,3,191,4.9,27.1,418,1.2,8
9,36,608,37.8,35.4,2.4,1.23,14.2,0,28.4,3.04,3,191,4.9,27.1,417,1.2,8.3
9,37,598,38.1,35.7,2.5,1.26,14.5,0.3,28.8,3.02,3,187,4.9,27.5,411,1.3,8.7
9,38,583,38.6,36,2.6,1.29,15.5,1,30,2.98,2,181,5.2,29.6,402,1.4,9.2
9,39,563,39.1,36.5,2.6,1.28,16,1.3,30.8,2.93,3,173,5.4,31.2,390,1.4,9.3
9,40,551,39.6,36.8,2.8,1.37,17.3,2.3,32.3,2.91,3,171,5.1,30.6,380,1.8,11.3
9,41,534,39.5,37.1,2.4,1.16,16.3,1.1,31.6,2.88,4,166,3.7,26.2,368,1.9,11.9
9,42,518,40.2,37.4,2.7,1.29,17.9,2.4,33.5,2.86,3,158,4.6,30.3,360,1.9,12.5
9,43,500,40.8,37.8,3,1.39,19.5,3.5,35.4,2.83,3,155,5.2,32.8,345,2,13.4
9,44,482,41.3,38.1,3.1,1.42,20.5,4.2,36.8,2.81,3,148,6,37,334,1.9,13.2
9,45,460,41.5,38.6,3,1.3,20.6,3.8,37.4,2.78,3,142,6.8,40.4,318,1.2,11.7
9,46,439,41.2,39,2.2,0.95,13.4,-0.6,27.4,2.71,3,136,5.3,21.9,303,0.8,9.6
9,47,422,41.2,39.3,1.9,0.8,12.7,-1.6,27,2.67,2,131,5.1,21.9,291,0.5,8.6
9,48,401,41.9,39.7,2.2,0.88,13.9,-0.7,28.6,2.65,2,127,4.7,21.1,274,1,10.6
9,49,377,43,40.2,2.8,1.11,16.5,1.3,31.8,2.62,3,121,4.9,22.6,256,1.8,13.6
9,50,361,42.4,40.5,1.9,0.74,13.9,-1.5,29.3,2.6,2,114,4.7,22.7,247,0.6,9.8
9,51,330,42.4,41.1,1.4,0.5,12.1,-3.9,28.1,2.56,3,105,2.1,12.7,225,1,11.9
9,52,303,41.9,41.7,0.2,0.07,9.4,-7.2,26,2.51,1,94,-1.3,4.4,209,0.9,11.7
